"PubOrder","SiteName","CRA","Error","LabID","Problems","Material","Reference","OccCRA","OccError"
143,"Lapa do Santo",9100,40,"Beta-216518",,"Charcoal","Neves et al., 2004a,b",,
144,"Lapa Grande de Taquaruçu",9620,40,"Beta-216525",,"Charcoal","Neves et al., 2008",9591,31
145,"Lapa Grande de Taquaruçu",9550,60,"Beta-183575",,"Charcoal","Neves et al., 2008",,
146,"Lapa Grande de Taquaruçu",9540,90,"Beta-216526",,"Charcoal","Neves et al., 2008",,
147,"Lapa Grande de Taquaruçu",9040,40,"Beta-216532",,"Charcoal","Neves et al., 2008",9040,40
148,"Lapa Mortuária de Confins",9760,70,"Beta-221079",,"Charcoal","Neves et al., 2008",9760,70
149,"Santana do Riacho (Abrigo",9460,110,"Gif-4508",,"Bone","Prous, 1991; Kipnis, 2002",9460,110
151,"MG-RP-6-Lapa do Gentio",9580,200,"Gif-3208",,,"Dias, 1976e77",9580,200
153,"Gruta do Marinheiro",9610,60,"Beta-230980",,"Charcoal","Koole, 2007",9610,60
154,"Capelinha",9890,150,,,"Shell","Plens, 2007",9890,150
155,"Capelinha",9250,50,"Beta-189331",,,"Plens, 2007",9210,45
156,"Capelinha",9050,100,"Beta-189329",,"Shell","Figuti, 2004",,
157,"Batatal I",9050,100,"Beta-181329",,"Shell","Plens, 2007",9050,100
158,"RS-I-67/Touro Passo I",9840,105,"N-2519",,"Charcoal","Dias and Jacobus, 2001;",9840,105
160,"RS-I-67/Touro Passo I",9230,145,"SI-2625",,,"Dias and Jacobus, 2001;",9230,145
162,"RS-I-72/Palmito 2",9450,115,"SI-2634",,"Charcoal","Dias and Jacobus, 2001;",9450,115
164,"RS-IJ-67/Pessegueiro",9855,130,"SI-3749",,,"Dias and Jacobus, 2001;",9763,104
